,last_url_element,counts
0,org,3793117
1,gov,2722648
2,fcgi,2038034
3,php,1023018
4,uk,497834
5,com,388216
6,cn,259043
7,info,153380
8,fr,140914
9,cz,137984
10,se,114422
11,html,104908
12,nl,83981
13,de,65786
14,net,57967
15,do,51375
16,edu,44989
17,au,37012
18,be,28597
19,json,25595
20,aspx,25479
21,ac,23451
22,fi,21182
23,eu,21139
24,es,20732
25,pl,18964
26,br,18895
27,ch,16512
28,it,15567
29,no,15256
30,cfm,15238
31,jp,14063
32,wales,13914
33,ie,13515
34,jpg,12237
35,jsp,11791
36,scot,10455
37,in,10390
38,ee,9461
39,htm,9076
40,at,8987
41,exe,8687
42,sqw,7748
43,asp,7399
44,nz,6888
45,pdf,6645
46,ca,5824
47,dk,5760
48,cgi,5223
49,hu,4985
50,cat,4935
51,ar,4799
52,io,3723
53,ru,3429
54,nu,2693
55,gz,2491
56,museum,2373
57,kr,2192
58,pt,2177
59,si,1475
60,ma,1370
61,hr,1278
62,sk,984
63,eus,976
64,jsf,885
65,tw,881
66,csv,859
67,us,846
68,xlsx,795
69,id,784
70,gr,765
71,csl+json,730
72,za,721
73,is,702
74,ua,679
75,uy,662
76,il,655
77,shtml,651
78,xsql,641
79,rdf,635
80,org:443,602
81,tv,596
82,ph,554
83,X,529
84,xhtml,514
85,swiss,514
86,mt,449
87,objekts,449
88,com:,447
89,mx,435
90,com:48994,423
91,JPG,418
92,HTM,413
93,js,403
94,nsf,402
95,xml,399
96,ro,387
97,tr,386
98,https:,333
99,ir,299
100,uri,289
101,lt,283
102,world,275
103,hk,274
104,co,272
105,,261
106,by,261
107,app,252
108,png,251
109,ng,245
110,cl,244
111,action,228
112,int,222
113,pe,212
114,http:,208
115,jpeg,199
116,git,199
117,taipei,199
118,lu,197
119,php3,195
120,lv,191
121,np,188
122,xsp,170
123,txt,166
124,pk,165
125,gh,161
126,alo,160
127,telepules,137
128,dll,136
129,ke,133
130,my,132
131,th,125
132,vm,122
133,sg,121
134,rs,115
135,bg,113
136,py,113
137,am,112
138,infos_admin,108
139,science,107
140,djvu,103
141,africa,103
142,phtml,102
143,tn,101
144,mil,99
145,md,96
146,ec,96
147,sv,96
148,gl,93
149,xls,92
150,fm,90
151,sa,86
152,url,85
153,PNG,77
154,me,75
155,svg,73
156,ge,72
157,aero,69
158,ashx,68
159,ae,65
160,top40.nl,65
161,lk,64
162,zip,64
163,vn,64
164,kz,61
165,article,60
166,cmd,58
167,az,56
168,dz,56
169,tif,55
170,ASP,55
171,ghtml,51
172,li,51
173,rme,50
174,gg,47
175,zm,46
176,view_form,46
177,news,45
178,ba,44
179,brussels,43
180,doc,43
181,CD,42
182,gal,41
183,cu,39
184,vysledky,39
185,com:80,38
186,page,37
187,html%E2%80%8E,36
188,io-client,35
189,mu,35
190,rb,35
191,biz,34
192,files,32
193,ve,32
194,v1,31
195,nhn,31
196,to,31
197,mc,29
198,pro,29
199,ai,29
200,PDF,28
201,bd,28
202,wiki,28
203,cc,27
204,basketball,26
205,su,26
206,al,25
207,zoom,25
208,blog,25
209,ms,25
210,aspx#details,24
211,kiadvany,24
212,mk,24
213,w3.org,24
214,amsterdam,23
215,xn--p1ai,23
216,moll,23
217,p13.cz,22
218,wien,22
219,bo,22
220,cls,22
221,html#,22
222,lb,21
223,europe1.fr,20
224,cm_index,20
225,rugby,20
226,D.1923-09-19,20
227,bzh,20
228,px,20
229,fold3.com,20
230,s001,19
231,icm,19
232,eg,19
233,dli.2015.506121,19
234,DibujaPagina,19
235,cy,19
236,jo,19
237,ps,18
238,asia,18
239,dbml,18
240,pd%66,18
241,dli.2015.167938,18
242,news18.com,18
243,NSF,18
244,r,18
245,sd,18
246,france24.com,17
247,leccio,17
248,fo,17
249,online,17
250,media,17
251,cr,17
252,b,17
253,a,16
254,obituaries,16
255,fau,16
256,D.1919-01-21,16
257,re,16
258,html#haku,16
259,bilgi,15
260,sy,15
261,ug,15
262,uz,15
263,jhtml,15
264,rar,15
265,youm7.com,15
266,ad,15
267,_(episode),15
268,c,15
269,club,15
270,tv2.dk,15
271,na,15
272,art,14
273,va,14
274,O_753,14
275,hn,14
276,coop,14
277,ci,14
278,org:80,14
279,O_972,14
280,O_637,14
281,docx,14
282,film4.com,14
283,tt,13
284,edu:8081,13
285,O_138,13
286,O_596,13
287,O_674,13
288,r=,13
289,O_522,13
290,O_465,13
291,castle,13
292,O_725,13
293,O_1102,13
294,kg,13
295,O_1028,13
296,ssf,12
297,O_81,12
298,O_284,12
299,),12
300,jspx,12
301,name,12
302,O_382,12
303,sh,12
304,Htm,12
305,announce,12
306,O_1191,12
307,rio2016.com,12
308,mg,12
309,raw,12
310,O_659,12
311,D.1921-08-16,12
312,D.2016-10-03,12
313,ph:80,12
314,d66.nl,11
315,O_530,11
