reference_id,entity_id,claim_id,rank,property_id,datatype,datavalue,entity_label,entity_label_lan,property_label,property_label_lan,object_label,object_label_lan
390d6c6e68a32e11f8d7b0883cda0557db529fe6,Q5512528,Q5512528$81E8AD02-28AF-4AE3-8ACD-047C30B40B01,normal,P20,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 42564069, 'id': 'Q42564069'}, 'type': 'wikibase-entityid'}",G. V. Raja,en,place of death,en,Kullu Valley,en
49b9aec8e10815611ff0379a34d5fd7c3830566e,Q12149940,Q12149940$C9FE5F0C-78FD-4ECE-B1C2-16A763B8ED4E,normal,P140,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1546359, 'id': 'Q1546359'}, 'type': 'wikibase-entityid'}",Sebastian Sabol,en,religion,en,Greek catholic church,en
ab3e9ada7246257ffbfb86fa90a54f25e45a704e,Q583556,Q583556$929DCD2F-3B4A-41B5-89E7-EEC549077834,normal,P740,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 123709, 'id': 'Q123709'}, 'type': 'wikibase-entityid'}",Average White Band,en,location of formation,en,Dundee,en
ab3e9ada7246257ffbfb86fa90a54f25e45a704e,Q583556,Q583556$2AD75C92-953E-47CB-93A6-D082674F4231,normal,P2031,time,"{'value': {'time': '+1972-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Average White Band,en,work period (start),en,1972,en
76b04346ad57869d9e5ae1007ba8343d708ab6f9,Q7586053,Q7586053$AD344012-A522-4A8A-AF64-16F859E2EA9A,normal,P2031,time,"{'value': {'time': '+1983-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Yutaka Higuchi,en,work period (start),en,1983,en
1ee71b39caf6df395c64b436fea4895692812d38,Q5289513,Q5289513$B0532490-8FEC-4744-9D74-61238B633898,normal,P2031,time,"{'value': {'time': '+1994-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Dolores Delirio,en,work period (start),en,1994,en
e64fd9c459103a82eaf95b7a99f23687b895a15e,Q12633735,Q12633735$6AD884D6-9A87-4AAF-ABEB-24F6EC256679,normal,P2031,time,"{'value': {'time': '+2008-00-00T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Josip Bilinovac,en,work period (start),en,2008,en
9d3888688b4b18f5fee86aa6f9817b6d49cc2587,Q875232,Q875232$2D10C898-1A44-4F06-9B72-473F20BA1DCD,normal,P2043,quantity,"{'value': {'amount': '+26.996', 'unit': 'http://www.wikidata.org/entity/Q253276'}, 'type': 'quantity'}",Alabama State Route 145,en,length,en,26.996 mile,en
e4aabacd7b80c069d157823198280f5047c81532,Q7858261,Q7858261$8FEA5AAE-4D50-487E-A2E3-911D18AF7AB1,normal,P585,time,"{'value': {'time': '+1941-07-18T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Twin Pimples raid,en,point in time,en,18/07/1941,en
e8bca817517f1636f8d6d61656331b257ed66064,Q7227923,Q7227923$EFFB6029-2CE3-4392-9338-B57B2D5BEA6C,normal,P175,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3595530, 'id': 'Q3595530'}, 'type': 'wikibase-entityid'}",Ponniyin Selvan,en,performer,en,Vidyasagar,en
